"GOFAR Data Export"
"Vehicle","From","To"
"New Car","01-Jul-2021","30-Jun-2022"
,,,,,,,,,,,,,,,,,,,,
"Start Odometer (km)","End Odometer (km)","Total Distance Recorded (km)","Business Distance Recorded (km)","Business Use Percentage",,,,,,,,,,,,,,,
"49750","85665","30215.36","0.00","0.00",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Type,Trip Index,Start Time,End Time,Fuel (L),Cost,Price per Litre,Start Location,End Location,Average Speed (km/h),Distance (km),Economy (L/100km),CO2 (kg),Acceleration Score,Braking Score,Business,Tags,Odometer Start (km),Odometer End (km),% difference between calculated odometer and actual odometer
"Trip","1154","01-Jul-2021 14:47","01-Jul-2021 14:51","0.283","0.28","1.000","","","23","1.64","17.29","0.65","68.15","70.39","","","49750","49751","0.00%"
"Trip","1155","01-Jul-2021 14:57","01-Jul-2021 15:06","0.202","0.20","1.000","","","4","0.68","29.92","0.46","100.00","100.00","","","49751","49752","0.00%"
"Trip","1156","01-Jul-2021 15:11","01-Jul-2021 15:18","0.159","0.16","1.000","","","6","0.71","22.55","0.36","86.97","64.27","","","49752","49753","0.00%"
"Trip","1157","01-Jul-2021 15:42","01-Jul-2021 15:46","0.196","0.20","1.000","","","29","1.72","11.38","0.45","74.99","72.12","","","49753","49754","0.00%"
"Trip","1158","01-Jul-2021 16:09","01-Jul-2021 16:17","0.284","0.28","1.000","","","16","1.92","14.77","0.65","66.75","70.86","","","49754","49756","0.00%"
"Trip","1159","01-Jul-2021 16:27","01-Jul-2021 16:30","0.067","0.07","1.000","","","4","0.18","37.03","0.15","100.00","100.00","","","49756","49757","0.00%"
"Trip","1160","01-Jul-2021 16:43","01-Jul-2021 16:52","0.359","0.36","1.000","","","29","3.98","9.02","0.82","77.60","80.75","","","49757","49760","0.00%"
"Trip","1161","01-Jul-2021 17:06","01-Jul-2021 17:22","0.870","0.87","1.000","","","43","11.89","7.31","2.00","89.24","86.81","","","49760","49772","0.00%"
"Trip","1162","01-Jul-2021 17:25","01-Jul-2021 17:38","0.507","0.51","1.000","","","29","5.82","8.72","1.17","77.76","80.20","","","49772","49778","0.00%"
"Trip","1163","01-Jul-2021 17:49","01-Jul-2021 17:57","0.344","0.34","1.000","","","24","3.27","10.53","0.79","78.74","74.84","","","49778","49781","0.00%"
"Trip","1164","01-Jul-2021 18:02","01-Jul-2021 18:30","1.351","1.35","1.000","","","37","17.59","7.68","3.12","85.33","82.21","","","49781","49799","0.00%"
"Trip","1165","01-Jul-2021 18:35","01-Jul-2021 18:50","0.808","0.81","1.000","","","45","11.25","7.18","1.86","81.23","81.55","","","49799","49810","0.00%"
